"","Farm.CODE","Latitude","Longitude","SUB.LOCATION","Season","PLOTCODE","TREATMENT","HARVEST.AREA..M2.","PLANT.COUNT","NO..OF.COBS","COB.F.W...Kg.","yield.t.ha","stov.t.ha"
"66","F14",0.16945,34.44617,"Bushieni","LR2016","F141","Control",6.75,44,26,1.576,0.923626057142857,1.43666666666667
"67","F14",0.16945,34.44617,"Bushieni","LR2016","F142","PK",6.75,35,30,4.409,3.10984798213979,3.25481481481481
"68","F14",0.16945,34.44617,"Bushieni","LR2016","F143","NK",6.75,36,32,4.042,2.45667295619379,3.51666666666667
"69","F14",0.16945,34.44617,"Bushieni","LR2016","F144","NP",6.75,35,32,6.038,4.52056455524777,3.44644444444444
"70","F14",0.16945,34.44617,"Bushieni","LR2016","F145","NPK",6.75,38,38,7.065,5.05835695067265,3.82355555555556
"71","F15",0.16366,34.38787,"Yiro East","LR2016","F151","Control",6.75,18,12,2.213,1.84093782267116,1.80592592592593
"72","F15",0.16366,34.38787,"Yiro East","LR2016","F152","PK",6.75,22,24,6.057,4.30109294810059,4.80266666666667
"73","F15",0.16366,34.38787,"Yiro East","LR2016","F153","NK",6.75,28,31,7.592,5.02220369747899,4.10607407407407
"74","F15",0.16366,34.38787,"Yiro East","LR2016","F154","NP",6.75,27,27,5.768,4.2557697236715,5.448
"75","F15",0.16366,34.38787,"Yiro East","LR2016","F155","NPK",6.75,31,34,7.879,5.78180177180062,5.24333333333333
"76","F16",0.09662,34.39436,"Sirembe","LR2016","F161","Control",6.75,34,11,1.375,0.894856875803248,0.743259259259259
"77","F16",0.09662,34.39436,"Sirembe","LR2016","F162","PK",6.75,27,27,3.037,3.0135442074928,1.7997037037037
"78","F16",0.09662,34.39436,"Sirembe","LR2016","F163","NK",6.75,39,22,1.964,1.13170044444444,2.10777777777778
"79","F16",0.09662,34.39436,"Sirembe","LR2016","F164","NP",6.75,37,35,5.519,3.95943741935484,10.013037037037
"80","F16",0.09662,34.39436,"Sirembe","LR2016","F165","NPK",6.75,38,38,6.636,4.21226219517692,4.598
"81","F17",0.09988,34.41176,"Sirembe","LR2016","F171","Control",6.75,28,28,1.734,1.25771283312833,0.51562962962963
"82","F17",0.09988,34.41176,"Sirembe","LR2016","F172","PK",6.75,24,24,3.342,2.33030599257355,2.75666666666667
"83","F17",0.09988,34.41176,"Sirembe","LR2016","F173","NK",6.75,28,3,0.052,0.0144237037037037,0.972592592592593
"84","F17",0.09988,34.41176,"Sirembe","LR2016","F174","NP",6.75,24,19,1.669,1.25046757324489,2.07488888888889
"85","F17",0.09988,34.41176,"Sirembe","LR2016","F175","NPK",6.75,32,32,4.665,3.32823843962305,5.08
"86","F18",0.09927,34.37138,"Asayi","LR2016","F181","Control",6.75,28,21,1.246,0.833545059635907,1.13985185185185
"87","F18",0.09927,34.37138,"Asayi","LR2016","F182","PK",6.75,36,24,1.247,0.917493930905696,2.26266666666667
"88","F18",0.09927,34.37138,"Asayi","LR2016","F183","NK",6.75,25,16,1.469,0.783419226965385,1.23511111111111
"89","F18",0.09927,34.37138,"Asayi","LR2016","F184","NP",6.75,36,32,1.948,1.06874590145701,3.19288888888889
"90","F18",0.09927,34.37138,"Asayi","LR2016","F185","NPK",6.75,32,25,2.042,1.50505816911251,2.86711111111111
"91","F19",0.12377,34.4492,"Malanga","LR2016","F191","Control",6.75,23,17,2.044,1.50215684587814,1.15955555555556
"92","F19",0.12377,34.4492,"Malanga","LR2016","F192","PK",6.75,30,20,2.95,1.83500350877193,1.48481481481481
"93","F19",0.12377,34.4492,"Malanga","LR2016","F193","NK",6.75,29,25,5.576,3.93637620071685,3.27066666666667
"94","F19",0.12377,34.4492,"Malanga","LR2016","F194","NP",6.75,32,28,5.31,3.67707158671587,3.68133333333333
"95","F19",0.12377,34.4492,"Malanga","LR2016","F195","NPK",6.75,34,34,6.025,4.00520084311954,4.27555555555556
"96","F20",0.12687,34.44784,"Malanga","LR2016","F201","Control",6.75,32,10,0.327,0.168659333333333,0.415333333333333
"97","F20",0.12687,34.44784,"Malanga","LR2016","F202","PK",6.75,23,20,2.792,1.99913408816851,2.45111111111111
"98","F20",0.12687,34.44784,"Malanga","LR2016","F203","NK",6.75,34,12,0.689,0.317671892828999,1.50814814814815
"99","F20",0.12687,34.44784,"Malanga","LR2016","F204","NP",6.75,28,5,0.115,0.0651496296296296,0.845481481481482
"100","F20",0.12687,34.44784,"Malanga","LR2016","F205","NPK",6.75,18,13,2.14,1.71185878082983,1.57866666666667
"101","F21",0.09724,34.40001,"Sirembe","LR2016","F211","Control",6.75,32,23,0.889,0.480621200510856,0.844
"102","F21",0.09724,34.40001,"Sirembe","LR2016","F212","PK",6.75,25,18,1.254,0.937299458771092,1.23466666666667
"103","F21",0.09724,34.40001,"Sirembe","LR2016","F213","NK",6.75,19,1,0.033,0.0109392592592593,0.301185185185185
"104","F21",0.09724,34.40001,"Sirembe","LR2016","F214","NP",6.75,20,18,2.721,1.98974165137615,1.82637037037037
"105","F21",0.09724,34.40001,"Sirembe","LR2016","F215","NPK",6.75,28,28,4.205,3.12416710514041,3.308
"106","F23",0.12297,34.3975,"Nyabeda","LR2016","F231","Control",6.75,28,13,1.745,1.24329931796598,1.104
"107","F23",0.12297,34.3975,"Nyabeda","LR2016","F232","PK",6.75,42,42,6.44,3.44216878759101,4.40888888888889
"108","F23",0.12297,34.3975,"Nyabeda","LR2016","F233","NK",6.75,34,24,2.137,1.22414013810421,1.78059259259259
"109","F23",0.12297,34.3975,"Nyabeda","LR2016","F234","NP",6.75,30,26,3.752,2.83490165046693,3.20859259259259
"110","F23",0.12297,34.3975,"Nyabeda","LR2016","F235","NPK",6.75,37,28,4.399,3.28886651188502,4.02355555555556
"111","F24",0.12297,34.3975,"Malanga","LR2016","F241","Control",6.75,32,12,0.369,0.149896,0.370074074074074
"112","F24",0.12297,34.3975,"Malanga","LR2016","F242","PK",6.75,18,17,3.193,2.22917144730418,2.14933333333333
"113","F24",0.12297,34.3975,"Malanga","LR2016","F243","NK",6.75,NA,NA,NA,NA,NA
"114","F24",0.12297,34.3975,"Malanga","LR2016","F244","NP",6.75,23,15,0.938,0.663248921330089,1.70511111111111
"115","F24",0.12297,34.3975,"Malanga","LR2016","F245","NPK",6.75,29,24,4.268,2.77463563721202,4.45133333333333
