"","Season","Farm.CODE","PLOT.CODE","TREATMENT","NEW.TREATMENT","PLANT.COUNT","NO..OF.COBS","yield.t.ha","stov.t.ha","Comments"
"21","LR2018","F23","F23P1/SS1","Control","PK",18,15,1.89898292074458,1.809,"some missing plants"
"22","LR2018","F23","F23P1/SS2","Control","NK",42,30,2.31341277509393,2.67055555555556,"plot OK"
"23","LR2018","F23","F23P1/SS3","Control","NP",38,33,5.00508563232937,4.94,"plot OK"
"24","LR2018","F23","F23P1/SS4","Control","NPK",42,39,4.72873898404333,4.74014814814815,"plot OK"
"25","LR2018","F23","F23P2/SS1","PK","PK",29,19,2.7503898241676,3.16544444444444,"plot OK"
"26","LR2018","F23","F23P2/SS2","PK","NK",35,41,5.12630712583929,4.85866666666667,"plot OK"
"27","LR2018","F23","F23P2/SS3","PK","NP",40,33,4.25463877266388,5.39074074074074,"plot OK"
"28","LR2018","F23","F23P2/SS4","PK","NPK",32,29,4.17051917695473,3.06325925925926,"plot OK"
"29","LR2018","F23","F23P3/SS1","NK","PK",35,21,2.39632690541781,2.70062962962963,""
"30","LR2018","F23","F23P3/SS2","NK","NK",41,25,1.39885964192975,2.22240740740741,"poor crop"
"31","LR2018","F23","F23P3/SS3","NK","NP",37,35,3.795,3.40592592592593,""
"32","LR2018","F23","F23P3/SS4","NK","NPK",43,38,4.922656449553,5.15555555555555,""
"33","LR2018","F23","F23P4/SS1","NP","PK",31,27,2.87662417582418,3.13333333333333,""
"34","LR2018","F23","F23P4/SS2","NP","NK",42,34,4.05563339610797,6.72444444444444,""
"35","LR2018","F23","F23P4/SS3","NP","NP",38,28,2.84853795639611,2.64651851851852,""
"36","LR2018","F23","F23P4/SS4","NP","NPK",39,36,5.63646959136258,6.51597777777778,""
"37","LR2018","F23","F23P5/SS1","NPK","PK",24,18,2.55091129665311,2.91333333333333,"some missing plants with poor performance"
"38","LR2018","F23","F23P5/SS2","NPK","NK",28,21,2.94822393042938,3.61666666666667,"some missing plants with poor performance"
"39","LR2018","F23","F23P5/SS3","NPK","NP",36,24,2.54944933018125,3.97833333333333,"some missing plants with poor performance"
"40","LR2018","F23","F23P5/SS4","NPK","NPK",36,28,2.86106898272936,5.81111111111111,"some missing plants with poor performance"
"41","LR2018","F24","F24P1/SS1","Control","PK",36,11,1.21174536058257,NA,"plot OK"
"42","LR2018","F24","F24P1/SS2","Control","NK",0,0,NA,NA,"crop failure"
"43","LR2018","F24","F24P1/SS3","Control","NP",27,18,1.35443246839654,2.33577777777778,"heavy termite damage"
"44","LR2018","F24","F24P1/SS4","Control","NPK",38,36,4.51353641524736,5.32485185185185,"good performance"
"45","LR2018","F24","F24P2/SS1","PK","PK",37,17,1.26231601385558,2.34362962962963,"average performance"
"46","LR2018","F24","F24P2/SS2","PK","NK",28,17,1.96183891828336,2.29333333333333,"plot OK"
"47","LR2018","F24","F24P2/SS3","PK","NP",34,23,2.38259563673262,3.36907407407407,"some termite damage"
"48","LR2018","F24","F24P2/SS4","PK","NPK",36,45,4.82137763932156,6.67425925925926,"good performance"
"49","LR2018","F24","F24P3/SS1","NK","PK",13,11,1.4219998725059,1.37459259259259,"poor performance"
"50","LR2018","F24","F24P3/SS2","NK","NK",0,0,NA,NA,"crop failure"
"51","LR2018","F24","F24P3/SS3","NK","NP",29,26,3.07619047619048,3.21403703703704,"average performance"
"52","LR2018","F24","F24P3/SS4","NK","NPK",32,9,0.273988538191771,1.03866666666667,"poor for NPK"
"53","LR2018","F24","F24P4/SS1","NP","PK",17,10,0.841531762065095,1.43718518518519,""
"54","LR2018","F24","F24P4/SS2","NP","NK",22,19,0.859185840707965,1.73333333333333,""
"55","LR2018","F24","F24P4/SS3","NP","NP",12,8,0.701739879414298,1.29325925925926,""
"56","LR2018","F24","F24P4/SS4","NP","NPK",14,6,0.291737891737892,0.879666666666666,""
"57","LR2018","F24","F24P5/SS1","NPK","PK",0,0,NA,NA,"crop failure"
"58","LR2018","F24","F24P5/SS2","NPK","NK",32,26,2.57924812030075,2.76588888888889,"poor crop "
"59","LR2018","F24","F24P5/SS3","NPK","NP",22,17,1.37762647754137,1.8722962962963,"poor crop "
"60","LR2018","F24","F24P5/SS4","NPK","NPK",34,30,3.38832183908046,4.07244444444444,"good crop"
"61","LR2018","F5","F5P1/SS1","Control","PK",28,16,0.621852950873722,0.8,"poor performance"
"62","LR2018","F5","F5P1/SS2","Control","NK",0,0,NA,NA,"very poor no plants"
"63","LR2018","F5","F5P1/SS3","Control","NP",16,9,0.547354838709677,0.392333333333333,"poor performance"
"64","LR2018","F5","F5P1/SS4","Control","NPK",28,15,1.0411837219936,1.37911111111111,"poor performance"
"65","LR2018","F5","F5P2/SS1","PK","PK",29,17,1.59322991908427,1.30146666666667,"poor performance"
