"","FARMCODE","TRT","TRIALTYPE","SEASON_NR","PK_Y_FM","NPK_Y_FM","PK_NS","NPK_NS","Nrec"
"330","F7","PK","RESTORATION",10,4.39413059834447,6.82989000000003,55.3914059443173,89.5283415841588,0.227579570932276
"418","F7","PK","RESTORATION",11,4.96212566001114,7.50467000000004,61.9051107799443,97.8795792079213,0.239829789519846
"131","F8","PK","RESTORATION",8,1.25303047501113,3.47522000000002,19.3696155391184,48.0101485148517,0.190936886504888
"231","F8","PK","RESTORATION",9,1.8210255366778,4.15000000000002,25.8833203747454,56.3613861386142,0.203187105092458
"331","F8","PK","RESTORATION",10,2.38902059834447,4.82478000000003,32.3970252103724,64.7126237623766,0.215437323680028
"419","F8","PK","RESTORATION",11,2.95701566001115,5.49956000000004,38.9107300459994,73.0638613861391,0.227687542267598
"132","F10","PK","RESTORATION",8,1.49914047501113,3.72133000000002,22.1919779244395,51.0560643564358,0.192427242879975
"232","F10","PK","RESTORATION",9,2.0671355366778,4.39611000000002,28.7056827600665,59.4073019801983,0.204677461467545
"332","F10","PK","RESTORATION",10,2.63513059834447,5.07089000000003,35.2193875956935,67.7585396039608,0.216927680055115
"420","F10","PK","RESTORATION",11,3.20312566001114,5.74567000000004,41.7330924313205,76.1097772277232,0.229177898642685
"133","F12","PK","RESTORATION",8,0.908140475011123,3.13033000000001,15.4144549886597,43.7417079207922,0.188848352880884
"233","F12","PK","RESTORATION",9,1.4761355366778,3.80511000000002,21.9281598242867,52.0929455445547,0.201098571468454
"333","F12","PK","RESTORATION",10,2.04413059834447,4.47989000000003,28.4418646599136,60.4441831683172,0.213348790056024
"421","F12","PK","RESTORATION",11,2.61212566001114,5.15467000000004,34.9555694955406,68.7954207920797,0.225599008643594
"134","F13","PK","RESTORATION",8,2.59169714167779,4.81388666666668,34.7212974963049,64.5778052805282,0.199043385228155
"234","F13","PK","RESTORATION",9,3.15969220334446,5.48866666666669,41.2350023319319,72.9290429042907,0.211293603815725
"334","F13","PK","RESTORATION",10,3.72768726501114,6.1634466666667,47.7487071675589,81.2802805280532,0.223543822403295
"422","F13","PK","RESTORATION",11,4.29568232667781,6.8382266666667,54.2624120031859,89.6315181518156,0.235794040990865
"135","F14","PK","RESTORATION",8,1.79664047501112,4.01883000000001,25.6036751721459,54.7379950495051,0.194228799182395
"235","F14","PK","RESTORATION",9,2.36463553667779,4.69361000000002,32.1173800077729,63.0892326732676,0.206479017769965
"335","F14","PK","RESTORATION",10,2.93263059834447,5.36839000000003,38.6310848433998,71.44047029703,0.218729236357534
"423","F14","PK","RESTORATION",11,3.50062566001114,6.04317000000003,45.1447896790268,79.7917079207925,0.230979454945104
"136","F16","PK","RESTORATION",8,1.06769714167779,3.28988666666668,17.2442332761215,45.7164191419144,0.189814572438619
"236","F16","PK","RESTORATION",9,1.63569220334447,3.96466666666669,23.7579381117485,54.0676567656769,0.202064791026189
"336","F16","PK","RESTORATION",10,2.20368726501114,4.6394466666667,30.2716429473755,62.4188943894393,0.214315009613759
"424","F16","PK","RESTORATION",11,2.77168232667781,5.31422666666671,36.7853477830024,70.7701320132018,0.226565228201329
"137","F18","PK","RESTORATION",8,0.454140475011124,2.67633000000001,10.2080329703111,38.1228960396041,0.186099087128621
"237","F18","PK","RESTORATION",9,1.0221355366778,3.35111000000002,16.721737805938,46.4741336633666,0.19834930571619
"337","F18","PK","RESTORATION",10,1.59013059834447,4.02589000000003,23.235442641565,54.8253712871291,0.21059952430376
"425","F18","PK","RESTORATION",11,2.15812566001114,4.70067000000004,29.749147477192,63.1766089108915,0.22284974289133
"138","F19","PK","RESTORATION",8,1.58164047501112,3.80383000000001,23.1380788418707,52.0771039603962,0.192926834123504
"238","F19","PK","RESTORATION",9,2.14963553667779,4.47861000000002,29.6517836774976,60.4283415841587,0.205177052711073
"338","F19","PK","RESTORATION",10,2.71763059834447,5.15339000000003,36.1654885131246,68.7795792079211,0.217427271298643
"426","F19","PK","RESTORATION",11,3.28562566001114,5.82817000000003,42.6791933487516,77.1308168316836,0.229677489886213
"139","F9","PK","RESTORATION",8,1.89747047501111,4.11966,26.7599825115953,55.9858910891089,0.194839390516757
"239","F9","PK","RESTORATION",9,2.46546553667779,4.79444000000001,33.2736873472223,64.3371287128714,0.207089609104327
"339","F9","PK","RESTORATION",10,3.03346059834446,5.46922000000002,39.7873921828493,72.6883663366339,0.219339827691897
"427","F9","PK","RESTORATION",11,3.60145566001113,6.14400000000002,46.3010970184763,81.0396039603963,0.231590046279467
"140","F17","NK","NOT-SUBPLOTS",9,3.67117322120001,5.22831729132223,47.1006103348625,69.7068971698296,0.150708578899781
"240","F17","NK","NOT-SUBPLOTS",10,2.87863775543334,4.5425667638889,38.0119008650612,61.2198856916943,0.154719898844221
"340","F17","NK","NOT-SUBPLOTS",11,2.08610228966667,3.85681623645556,28.9231913952599,52.732874213559,0.15873121878866
"141","F23","NK","NOT-SUBPLOTS",9,4.61817766566667,5.3722082903889,57.9607530466361,71.4877263661992,0.0901798221304206
"241","F23","NK","NOT-SUBPLOTS",10,3.8256421999,4.68645776295556,48.8720435768349,63.0007148880639,0.09419114207486
"341","F23","NK","NOT-SUBPLOTS",11,3.03310673413333,4.00070723552223,39.7833341070336,54.5137034099286,0.0982024620192996
"142","F24","NK","NOT-SUBPLOTS",9,3.15952608313334,3.77670732505557,41.2330972836392,51.7414272902917,0.070055533377683
"242","F24","NK","NOT-SUBPLOTS",10,2.36699061736667,3.09095679762223,32.144387813838,43.2544158121563,0.0740668533221225
"342","F24","NK","NOT-SUBPLOTS",11,1.5744551516,2.4052062701889,23.0556783440367,34.767404334021,0.0780781732665619
"143","F5","NK","NOT-SUBPLOTS",9,2.70970062846667,2.8453386157889,36.0745484915903,40.2145868290705,0.0276002555832017
"243","F5","NK","NOT-SUBPLOTS",10,1.9171651627,2.15958808835556,26.985839021789,31.7275753509352,0.0316115755276412
"343","F5","NK","NOT-SUBPLOTS",11,1.12462969693333,1.47383756092223,17.8971295519878,23.2405638727999,0.0356228954720807
"144","F20","NK","NOT-SUBPLOTS",9,4.10548747486667,4.1777537897889,52.0812783814985,56.7048736360012,0.0308239683633512
"244","F20","NK","NOT-SUBPLOTS",10,3.3129520091,3.49200326235556,42.9925689116973,48.2178621578659,0.0348352883077907
"344","F20","NK","NOT-SUBPLOTS",11,2.52041654333333,2.80625273492223,33.903859441896,39.7308506797306,0.0388466082522302
"145","F21","NK","NOT-SUBPLOTS",9,2.26414570160001,3.3933437335889,30.9649736422019,46.9968283860012,0.106879031625329
"245","F21","NK","NOT-SUBPLOTS",10,1.47161023583334,2.70759320615556,21.8762641724007,38.5098169078659,0.110890351569768
