"","FARMCODE","SEASON_NR","Control_Y_FM","PK_Y_FM","NPK_Y_FM","Control_NS","PK_NS","NPK_NS","Nrec"
"86","F7",7,2.89813067150635,3.8597049689441,7.61361801242235,42.3470447359066,49.262671662203,99.2279456982964,0.33310182690729
"96","F7",8,2.69274565724657,3.70627329192547,7.54863354037266,39.7003306346207,47.5031340817141,98.4236824303547,0.339470322324271
"17","F8",0,2.47154005703915,3.11658385093168,5.54850931677018,36.8497430030818,40.7406404923357,73.6696697620071,0.219526861797809
"27","F8",1,2.26615504277936,2.96315217391304,5.48352484472049,34.2030289017959,38.9811029118468,72.8654064940654,0.225895357214791
"37","F8",2,2.06077002851958,2.80972049689441,5.4185403726708,31.55631480051,37.2215653313579,72.0611432261237,0.232263852631772
"47","F8",3,1.85538501425979,2.65628881987578,5.35355590062111,28.9096006992241,35.462027750869,71.256879958182,0.238632348048754
"57","F8",4,1.65,2.50285714285714,5.28857142857142,26.2628865979382,33.7024901703801,70.4526166902403,0.245000843465735
"67","F8",5,1.44461498574021,2.34942546583851,5.22358695652173,23.6161724966522,31.9429525898912,69.6483534222987,0.251369338882717
"77","F8",6,1.23922997148043,2.19599378881988,5.15860248447204,20.9694583953663,30.1834150094022,68.844090154357,0.257737834299698
"87","F8",7,1.03384495722064,2.04256211180124,5.09361801242235,18.3227442940804,28.4238774289133,68.0398268864153,0.264106329716679
"97","F8",8,0.828459942960852,1.88913043478261,5.02863354037266,15.6760301927945,26.6643398484244,67.2355636184736,0.270474825133661
"18","F9",0,2.65725434275344,2.60801242236025,5.20422360248446,39.2429683344515,34.9083993389937,69.4087079515404,0.230002057416978
"28","F9",1,2.45186932849365,2.45458074534161,5.13923913043477,36.5962542331656,33.1488617585048,68.6044446835987,0.236370552833959
"38","F9",2,2.24648431423386,2.30114906832298,5.07425465838508,33.9495401318797,31.3893241780158,67.800181415657,0.242739048250941
"48","F9",3,2.04109929997407,2.14771739130435,5.00927018633539,31.3028260305937,29.6297865975269,66.9959181477153,0.249107543667922
"58","F9",4,1.83571428571429,1.99428571428571,4.94428571428571,28.6561119293078,27.870249017038,66.1916548797736,0.255476039084904
"68","F9",5,1.6303292714545,1.84085403726708,4.87930124223602,26.0093978280219,26.1107114365491,65.3873916118319,0.261844534501885
"78","F9",6,1.42494425719471,1.68742236024845,4.81431677018633,23.362683726736,24.3511738560602,64.5831283438902,0.268213029918867
"88","F9",7,1.21955924293492,1.53399068322981,4.74933229813664,20.7159696254501,22.5916362755713,63.7788650759485,0.274581525335848
"98","F9",8,1.01417422867514,1.38055900621118,4.68434782608695,18.0692555241641,20.8320986950824,62.9746018080068,0.28095002075283
"19","F10",0,3.26154005703915,4.13801242236025,5.87279503105589,47.0301553742158,52.4542708986267,77.6831068199987,0.168192239475813
"29","F10",1,3.05615504277936,3.98458074534161,5.8078105590062,44.3834412729299,50.6947333181378,76.878843552057,0.174560734892795
"39","F10",2,2.85077002851957,3.83114906832298,5.74282608695651,41.736727171644,48.9351957376489,76.0745802841153,0.180929230309776
"49","F10",3,2.64538501425979,3.67771739130435,5.67784161490682,39.0900130703581,47.1756581571599,75.2703170161736,0.187297725726758
"59","F10",4,2.44,3.52428571428571,5.61285714285714,36.4432989690721,45.416120576671,74.4660537482319,0.193666221143739
"69","F10",5,2.23461498574021,3.37085403726708,5.54787267080745,33.7965848677862,43.6565829961821,73.6617904802902,0.20003471656072
"79","F10",6,2.02922997148042,3.21742236024845,5.48288819875776,31.1498707665003,41.8970454156932,72.8575272123485,0.206403211977702
"89","F10",7,1.82384495722064,3.06399068322981,5.41790372670807,28.5031566652144,40.1375078352043,72.0532639444068,0.212771707394683
"99","F10",8,1.61845994296085,2.91055900621118,5.35291925465838,25.8564425639285,38.3779702547154,71.2490006764651,0.219140202811665
"110","F11",0,4.48439719989629,2.64944099378882,2.99279503105589,62.7886237100037,35.3834976351929,42.039542463563,0.044373632189134
"210","F11",1,4.2790121856365,2.49600931677019,2.9278105590062,60.1419096087178,33.623960054704,41.2352791956213,0.0507421276061155
"310","F11",2,4.07362717137672,2.34257763975155,2.86282608695651,57.4951955074319,31.8644224742151,40.4310159276796,0.057110623023097
"410","F11",3,3.86824215711693,2.18914596273292,2.79784161490682,54.848481406146,30.1048848937261,39.6267526597379,0.0634791184400785
"510","F11",4,3.66285714285714,2.03571428571429,2.73285714285714,52.2017673048601,28.3453473132372,38.8224893917962,0.0698476138570599
"610","F11",5,3.45747212859735,1.88228260869565,2.66787267080745,49.5550532035741,26.5858097327483,38.0182261238545,0.0762161092740414
"710","F11",6,3.25208711433757,1.72885093167702,2.60288819875776,46.9083391022882,24.8262721522594,37.2139628559128,0.0825846046910229
"810","F11",7,3.04670210007778,1.57541925465839,2.53790372670807,44.2616250010023,23.0667345717705,36.4096995879711,0.0889531001080043
"910","F11",8,2.84131708581799,1.42198757763975,2.47291925465838,41.6149108997164,21.3071969912816,35.6054363200294,0.0953215955249858
"111","F12",0,3.69582577132487,2.39658385093168,5.90279503105589,52.6266207644957,32.4837597583908,78.0543939487115,0.303804227935471
"211","F12",1,3.49044075706508,2.24315217391304,5.8378105590062,49.9799066632098,30.7242221779019,77.2501306807698,0.310172723352453
"311","F12",2,3.28505574280529,2.08972049689441,5.77282608695651,47.3331925619238,28.964684597413,76.4458674128281,0.316541218769434
"411","F12",3,3.0796707285455,1.93628881987578,5.70784161490682,44.6864784606379,27.2051470169241,75.6416041448864,0.322909714186416
"511","F12",4,2.87428571428572,1.78285714285714,5.64285714285713,42.039764359352,25.4456094364351,74.8373408769447,0.329278209603397
"611","F12",5,2.66890070002593,1.62942546583851,5.57787267080745,39.3930502580661,23.6860718559462,74.033077609003,0.335646705020379
"711","F12",6,2.46351568576614,1.47599378881988,5.51288819875776,36.7463361567802,21.9265342754573,73.2288143410613,0.34201520043736
"811","F12",7,2.25813067150635,1.32256211180124,5.44790372670807,34.0996220554943,20.1669966949684,72.4245510731196,0.348383695854342
"911","F12",8,2.05274565724657,1.16913043478261,5.38291925465838,31.4529079542083,18.4074591144795,71.620287805178,0.354752191271323
"112","F13",0,3.31725434275344,2.83515527950311,5.18279503105589,47.7481229736268,37.5132486181549,69.1435028596026,0.210868361609652
"212","F13",1,3.11186932849365,2.68172360248447,5.1178105590062,45.1014088723408,35.753711037666,68.3392395916609,0.217236857026633
"312","F13",2,2.90648431423386,2.52829192546584,5.05282608695651,42.4546947710549,33.9941734571771,67.5349763237192,0.223605352443614
"412","F13",3,2.70109929997408,2.37486024844721,4.98784161490682,39.807980669769,32.2346358766881,66.7307130557775,0.229973847860596
"512","F13",4,2.49571428571429,2.22142857142857,4.92285714285713,37.1612665684831,30.4750982961992,65.9264497878358,0.236342343277577
"612","F13",5,2.2903292714545,2.06799689440994,4.85787267080745,34.5145524671972,28.7155607157103,65.1221865198941,0.242710838694559
"712","F13",6,2.08494425719471,1.91456521739131,4.79288819875776,31.8678383659113,26.9560231352214,64.3179232519524,0.24907933411154
