"","Year","Crop","Control","FYM","FYMN","FYMNK","FYMNP","FYMNPK","FYMNPKMg","FYMPK","N","NK","NP","NPK","NPKMg","PK","pred_K_UP_NPK","pred_K_UP_PK","pred_K_UP_NK","pred_K_UP_Control","pred_K_UP_N","pred_K_UP_NP","pred_K_UP_NPKMg","pred_K_UP_FYMNPK","pred_K_UP_FYM","pred_K_UP_FYMPK","pred_K_UP_FYMNK","pred_K_UP_FYMNP","pred_K_UP_FYMNPKMg"
"11",1971,"rye",24.6419804478963,35.3856046154211,68.1635047633329,79.5258095888496,74.5536687236114,82.3469951126589,83.1095836745637,40.908203607421,46.8256730213327,70.7401693512305,53.2977219436115,73.5688844802781,76.8822405383734,31.1938806864686,48.9291396801451,28.9696416492613,48.9292445656074,28.9696425663728,44.7368547910163,44.7368551278641,48.9291396801451,48.9291398604817,28.9696423423665,28.9696418051124,48.9291483349162,48.9291870566538,48.9291398604817
"12",1972,"oats",27.0190279959616,39.2798297231951,66.798596170842,90.2105467414291,77.5006231384886,97.2404287726064,95.5228442384886,45.0337597584888,38.4249174639955,71.0873557002536,47.0220875443711,74.4090932520182,80.303362843783,34.3940362514301,67.6684735646335,29.3211562627469,67.851360737328,29.3211475576841,50.9358917939163,50.9359178246797,67.6684735646335,75.7611282519479,29.3211532251867,29.3211673206089,75.9042432143949,65.7277795202135,75.7611282519479
"13",1973,"potato",51.6427733174153,110.504566557414,127.617356578203,162.779464793228,142.634383172681,161.353101336892,160.532006077416,117.292385941626,54.3331319915359,123.567084037416,69.4421513337321,118.179768176364,128.778163856364,67.3873119447848,111.906925122581,61.3687861519222,105.81916605917,60.4036991382604,78.843040872271,78.843035449508,111.906925122581,155.367353613498,104.366891285615,109.179585878238,144.235660724466,121.757977175739,155.367353613498
"14",1974,"rye",23.4648539376958,34.2084781052205,66.9863782531324,78.3486830786491,73.3765422134109,81.1698686024584,81.9324571643632,39.7310770972205,45.6485465111322,69.56304284103,52.120595433411,72.3917579700775,75.7051140281729,30.0167541762681,50.0721034179287,29.1980610093071,50.0720834053479,29.1980600447607,44.8205339163895,44.8205337950938,50.0721034179287,50.0721290553336,29.1980604855846,29.1980601695073,50.0720838418659,50.0721107204319,50.0721290553336
"15",1975,"oats",24.9137685466567,37.1745702738902,64.6933367215371,88.1052872921242,75.3953636891838,95.1351693233015,93.4175847891837,42.9285003091839,36.3196580146906,68.9820962509487,44.9168280950663,72.3038338027134,78.1981033944781,32.2887768021252,69.0284753066608,29.4741198364972,69.2473755558034,29.4741265226384,50.5476246838576,50.5475358570475,69.0284753066608,78.0712413993464,29.4741260286469,29.4741206946094,78.2748682833054,66.531490039866,78.0712413993464
"16",1976,"potato",47.6240812040649,106.485874444064,123.598664464852,158.760772679878,138.61569105933,157.334409223541,156.513313964066,113.273693828276,50.3144398781855,119.548391924066,65.4234592203817,114.161076063013,124.759471743013,63.3686198314344,112.158250230948,60.4574665608391,105.714351017059,59.5286466617475,77.3827022512318,77.382458498528,112.158250230948,159.150550893538,109.863311565682,118.618355200371,146.503108442432,122.397393457213,159.150550893538
"17",1977,"rye",22.2877274274952,33.0313515950199,65.8092517429317,77.1715565684484,72.1994157032102,79.9927420922577,80.7553306541625,38.5539505870198,44.4714200009315,68.3859163308294,50.9434689232103,71.2146314598769,74.5279875179722,28.8396276660674,51.2152303435524,29.4264781123194,51.2150189663481,29.4264788589218,44.8186007352265,44.8186080044805,51.2152303435524,51.2150186807926,29.426478630724,29.4264782914165,51.215030081784,51.2150276172953,51.2150186807926
"18",1978,"oats",22.8085090973518,35.0693108245853,62.5880772722322,86.0000278428193,73.2901042398789,93.0299098739967,91.3123253398788,40.823240859879,34.2143985653857,66.8768368016439,42.8115686457614,70.1985743534085,76.0928439451733,30.1835173528203,70.3224177333539,29.6271100046088,70.119222060423,29.6270955788115,50.0928706348006,50.0928855407527,70.3224177333539,80.2683103875079,29.6271524168109,29.6271157285573,80.5457392311508,67.1392552536816,80.2683103875079
"19",1979,"potato",51.3558829675446,110.217676207544,127.330466228332,162.492574443357,142.34749282281,161.066210987021,160.245115727546,117.005495591756,54.0462416416653,123.280193687546,69.1552609838615,117.892877826493,128.491273506493,67.1004215949142,119.368877302503,72.2571498953574,105.57562142786,66.4257990065129,76.3107141678194,78.5777421217848,119.368877302503,163.628571739407,119.365271143638,138.634977988578,148.461964013353,125.876531362343,163.628571739407
"20",1980,"rye",28.8610947941246,39.6047189616493,72.3826191095612,83.7449239350779,78.7727830698397,86.5661094588872,87.328698020792,45.1273179536492,51.044787367561,74.9592836974588,57.5168362898398,77.7879988265063,81.1013548846017,35.4129950326969,74.7108501968942,34.7393396397775,73.3603861532099,34.7393160424866,52.1316640050245,52.0265313235395,74.7108501968942,86.4827562082883,34.7393139038282,34.7393163943609,86.8763623527776,72.4488697692194,86.4827562082883
"21",1981,"oats",28.4537435248767,40.7145452521102,68.2333116997571,91.6452622703442,78.9353386674038,98.6751443015216,96.9575597674037,46.4684752874039,39.8596329929106,72.5220712291687,48.4568030732863,75.8438087809334,81.7380783726981,35.8287517803452,73.4032867117649,37.4066979231229,69.555681798788,37.1500310014391,49.5040780769412,50.0416893288385,73.4032867117649,86.7380931392788,37.406744350446,37.4067015507877,87.282339916845,68.9431769451952,86.7380931392788
"22",1982,"potato",47.3371908541942,106.198984094193,123.311774114982,158.473882330007,138.32880070946,157.047518873671,156.226423614195,112.986803478405,50.0275495283148,119.261501574195,65.1365688705111,113.874185713143,124.472581393143,63.0817294815637,119.026392561471,71.3457373693896,104.902204415931,65.0929559199431,74.5350672742065,76.4873936672515,119.026392561471,164.139568987125,121.627530012387,145.720594126458,148.951516416033,123.961019042433,164.139568987125
"23",1983,"rye",27.6839682839241,38.4275924514488,71.2054925993606,82.5677974248773,77.5956565596392,85.3889829486866,86.1515715105915,43.9501914434487,49.8676608573604,73.7821571872583,56.3397097796392,76.6108723163058,79.9242283744012,34.2358685224963,75.319253550314,34.9677336954421,73.0668516083094,34.9677421222412,51.0748352257478,51.1762891976202,75.319253550314,87.9711773911701,34.967733987231,34.9677319215817,88.4731344632511,72.2412837909198,87.9711773911701
"24",1984,"oats",26.3484840755718,38.6092858028054,66.1280522504522,89.5400028210394,76.8300792180989,96.5698848522167,94.8523003180988,44.363215838099,37.7543735436057,70.4168117798639,46.3515436239814,73.7385493316285,79.6328189233933,33.7234923310403,74.0478596572133,37.5596794287444,69.358235034372,37.1253325122349,48.5146651548953,49.2460675915912,74.0478596572133,88.0366532850149,37.5596835990016,37.5596870692525,88.6868224358657,68.6170529181425,88.0366532850149
"25",1985,"potato",43.3184987408436,102.180291980843,119.293082001631,154.455190216656,134.310108596109,153.02882676032,152.207731500845,108.968111365055,46.0088574149642,115.242809460845,61.1178767571604,109.855493599792,120.453889279792,59.0630373682131,119.383840054261,70.4343732548194,104.540524256569,64.0262660582836,73.0721060089418,74.8110453532351,119.383840054261,165.291922246497,123.599946126411,152.222422969537,149.784786107969,122.697455088642,165.291922246497
"26",1986,"rye",26.5068417737233,37.250465941248,70.0283660891599,81.3906709146766,76.4185300494384,84.2118564384859,84.9744450003907,42.7730649332479,48.6905343471597,72.6050306770575,55.1625832694385,75.433745806105,78.7471018642004,33.0587420122956,76.1332275480986,35.1961566481562,72.9400930632226,35.1958235863323,50.1126024642589,50.4397029966209,76.1332275480986,89.5109225774175,35.196190701842,35.1961591091834,90.1108503188538,72.1771641099815,89.5109225774175
"27",1987,"oats",24.243224626267,36.5040263535005,64.0227928011474,87.4347433717345,74.724819768794,94.4646254029118,92.747040868794,42.2579563887942,35.6491140943009,68.311552330559,44.2462841746766,71.6332898823237,77.5275594740884,31.6182328817355,74.8303724190841,37.7126836185789,69.2664506076297,37.09342877973,47.6192997022878,48.5172424132965,74.8303724190841,89.4119663711094,37.7126504245646,37.7126618889724,90.1588010220499,68.4079467194679,89.4119663711094
"28",1988,"potato",39.2998066274934,98.1615998674923,115.274389888281,150.436498103306,130.291416482759,149.01013464697,148.189039387494,104.949419251704,41.990165301614,111.224117347494,57.0991846438102,105.836801486442,116.435197166442,55.0443452548629,119.936810665102,69.5231476947224,104.260460736429,63.0471875728784,71.7092537620822,73.2618731746769,119.936810665102,166.62605226248,125.246781680211,158.216321487649,150.696125803083,121.652014028681,166.62605226248
"29",1989,"rye",25.3297152635228,36.0733394310475,68.8512395789593,80.213544404476,75.2414035392379,83.0347299282853,83.7973184901902,41.5959384230474,47.5134078369591,71.427904166857,53.9854567592379,74.2566192959045,77.5699753539999,31.881615502095,76.982433982711,35.4246035786545,72.8566711063715,35.4009153122972,49.19933656918,49.7165330203212,76.982433982711,91.0415031372786,35.424592376943,35.4245695010079,91.7370296104175,72.1400709994428,91.0415031372786
"30",1990,"oats",22.1379651769619,34.3987669041954,61.9175333518423,85.3294839224294,72.6195603194889,92.3593659536067,90.6417814194889,40.1526969394891,33.5438546449958,66.2062928812539,42.1410247253715,69.5280304330186,75.4223000247833,29.5129734324304,75.6268481368665,37.8656426973041,69.2002616631167,37.0444111364736,46.758481907558,47.7923663117979,75.6268481368665,90.7866130719828,37.8656409607238,37.8656334780746,91.6287681342161,68.2238739714424,90.7866130719828
"31",1991,"potato",35.2811145141429,94.1429077541419,111.25569777493,146.417805989956,126.272724369408,144.991442533619,144.170347274144,100.930727138354,37.9714731882636,107.205425234144,53.0804925304598,101.818109373092,112.416505053091,51.0256531415125,120.536606721544,68.6118261901206,103.991080055328,62.0981542021017,70.38669384144,71.7648780425196,120.536606721544,167.994066059379,126.595453070286,163.769285369512,151.598659575142,120.687174002398,167.994066059379
