"","Year","Crop","Control","FYM","FYMNPK","N","N1PKMg","N2PKMg","N4PKMg","N5PKMg","NP","NPK","PKMg","pred_N_UP_N1PKMg","pred_N_UP_N2PKMg","pred_N_UP_N4PKMg","pred_N_UP_N5PKMg","pred_N_UP_PKMg","pred_N_UP_Control","pred_N_UP_N","pred_N_UP_NP","pred_N_UP_NPK","pred_N_UP_FYMNPK","pred_N_UP_FYM"
"26",1997,"wheat",29.3428953511711,120.715745252857,209.042364940365,92.9210511745731,64.4648759076859,103.714655112334,108.698314152704,191.708584189015,90.5816893265071,109.036478602896,29.1486351667593,68.1243534791087,106.500228269664,106.500228269664,209.390896385196,29.148636933893,29.1486390533761,94.1026786461544,93.6606081346325,106.500228269664,215.066985955231,141.773069018563
"27",1998,"wheat",29.3766795940019,120.749529495688,209.076149183196,92.9548354174039,64.4986601505166,103.748439355164,108.732098395535,191.742368431845,90.6154735693378,109.070262845727,29.18241940959,67.9392530703178,106.175557060766,106.175557060766,209.236546768991,29.1824189972972,29.1824188953077,93.9307655909887,93.540871677314,106.175557060766,199.657242005327,126.818090723488
"28",1999,"oats",26.601750565269,103.651839321827,89.4388445095146,43.8491666325168,36.1877861583423,42.8668676346607,13.6640004761553,60.755629002075,41.8194361684429,11.1504460064896,29.0336248896931,34.5635888538159,40.0629450663269,40.0629450663269,55.9150221259392,29.0335751367007,28.1526998750307,35.4315300552573,36.4525222317517,40.0629450663269,121.597216607626,95.579416418938
"29",2000,"silage maize",14.9423860517682,63.3135376863527,65.8694350192637,0.589280211647422,29.6245986616546,43.4838881254174,14.4938966055071,31.9489475244698,10.724415028046,9.79320132761908,15.8606319848314,29.4869668370547,40.7189698541272,40.7189698541272,61.523025525191,15.8606319695632,14.2329393725727,19.6653106757133,28.0240479972311,40.7189698541272,64.1838368521006,48.9301915976988
"30",2001,"wheat",15.1598673935246,53.8282810366868,145.218934910841,79.3482677206638,43.6498264510783,74.1051909736592,102.036849186639,158.296185550081,71.418246119875,98.7212992327651,15.4226684759626,45.229094114317,75.0355100791704,75.0354940000127,160.23461313582,15.4226711735261,15.4226686171019,70.5884134351665,70.4255524658491,75.0354940000127,134.413278365202,54.848321297947
"31",2002,"wheat",19.7564084768278,92.7129561033021,198.045832665342,104.2252987726,50.1743963282025,85.8500492451057,138.308522485306,204.986076983181,106.828632392632,140.192937527147,20.531740388629,53.8837662559006,87.2174356228224,151.077363781161,180.557382054761,20.5318146496043,20.5317442655787,122.509376867344,121.744268956073,151.077363781161,152.29736322746,96.4545195388846
"32",2003,"wheat",19.7901927196581,92.7467403461324,198.079616908172,104.25908301543,50.2081805710327,85.883833487936,138.342306728136,205.019861226011,106.862416635463,140.226721769977,20.5655246314593,53.6989381687748,86.8174247722621,150.281052946301,179.593357067771,20.5655227028946,20.5655189498533,121.625689155624,120.874482615072,150.281052946301,150.940541564484,101.369219825969
"33",2004,"oats",15.8625205308972,74.4963070122438,77.289569074463,54.0006710705152,20.7445634188305,23.8495186074043,42.1214656487282,72.880378636213,56.9136360745398,41.1541617707119,19.2639869515344,20.8581396878913,22.452282856657,25.6406298046777,27.2347868812115,19.2639289045587,19.1915263297188,24.8891016162526,24.8785303046662,25.6406298046777,25.6406382210802,75.3480851674223
"34",2005,"silage maize",0.505558293250942,30.4604076526245,50.0225618600662,7.04318692550045,10.4837781979982,20.7689413740156,39.2537640539342,40.3760994344637,22.1210172099975,36.0993193676955,2.39339632252815,11.481873303285,20.2434867029286,36.448394727516,39.9910972180202,2.39339892587902,2.39340180664081,19.2054122173866,26.5127625385179,36.448394727516,35.2022083322929,27.4978319119308
"35",2006,"wheat",19.8915454481489,92.8480930746232,198.180969636663,104.360435743921,50.3095332995236,85.9851862164268,138.443659456627,205.121213954502,106.963769363954,140.328074498468,20.6668773599502,53.1439419930586,85.6193468634904,148.233190778712,176.972668622708,20.6668880629237,20.6668870221836,120.543830780239,119.799034635597,148.233190778712,148.617490453952,89.3023018925684
"36",2007,"wheat",28.1829143415753,104.337013871267,196.872552572387,119.679505590147,59.1093732178124,94.6066447662642,144.822977119945,209.681374762319,112.133907102809,149.285264650265,29.32550318059,62.4518578789146,95.4766784213115,158.561878326273,186.641998739358,29.325597521999,29.3255522109744,125.336659823778,124.470234302132,158.561878326273,158.645068205649,99.1408882805337
"37",2008,"wheat",28.2166985844055,104.370798114097,196.906336815217,119.713289832978,59.1431574606427,94.6404290090944,144.856761362775,209.715159005149,112.16769134564,149.319048893096,29.3592874234203,62.2670753884249,95.0528279262201,157.748633662125,185.298725369278,29.3592874104035,29.3592788377009,124.314215346916,123.452509153776,157.748633662125,157.645626627503,86.1716659749307
"38",2009,"oats",23.1362832356181,84.9676216201818,74.9635458214806,68.302134728036,28.5267971484138,31.4533709685362,47.4831771233408,76.4229332553243,61.0661676246902,49.0937457338039,26.9050065834688,29.961258456328,33.017507933413,39.1264088743376,41.9896052672423,26.904973783845,26.2522528289322,34.4098893240279,35.5672257625431,39.1264088743376,39.1226574732783,81.1792902502803
"39",2010,"silage maize",4.08172327382636,37.2341245364175,43.9989408829397,17.6470528588758,14.5684142034356,24.6751960110016,40.9178778044017,40.2210563294291,22.5759510360024,40.3413056066425,6.33681823031658,15.459061362162,23.7182730120768,39.7202928073965,41.5431922302229,6.33684051903092,6.32222067296241,18.743894917999,26.8755774431785,39.7202928073965,37.6846954156215,38.7386443888191
"40",2011,"wheat",28.3180513128964,104.472150842588,197.007689543708,119.814642561469,59.2445101891335,94.7417817375853,144.958114091266,209.81651173364,112.269044074131,149.420401621586,29.4606401519111,61.7120240457216,93.8950941044771,155.675940755122,183.279980765711,29.4606522794134,29.4602910619249,123.210302246177,122.294825591369,155.675940755122,155.693868884673,84.3523553341881
"41",2012,"wheat",28.3518355557267,104.505935085418,197.041473786538,119.848426804299,59.2782944319638,94.7755659804156,144.991898334096,209.85029597647,112.302828316961,149.454185864417,29.4944243947414,61.5268699375845,93.457198525397,154.843256702496,181.607133245395,29.4944244203825,29.4931544012656,122.037610089094,121.14231126397,154.843256702496,154.533573620866,107.392986515325
"42",2013,"wheat",28.3856197985565,104.539719328248,197.075258029368,119.882211047129,59.3120786747937,94.8093502232454,145.025682576926,209.8840802193,112.336612559791,149.487970107247,29.5282086375712,61.3419608395448,93.0356607851844,154.036543788621,180.316493995615,29.5282086374221,29.5257886876513,121.013047637451,120.129722575542,154.036543788621,153.565152465874,113.877537058634
"43",2014,"oats",22.1524612897415,83.9837996743052,73.9797238756041,67.3183127821595,27.5429752025372,30.4695490226596,46.4993551774642,75.4391113094478,60.0823456788136,48.1099237879273,25.9211846375922,29.5711907313538,33.221188585397,40.514004864109,43.8039938504616,25.9211786497434,25.3098655476896,34.9701048681361,36.362107872063,40.514004864109,40.4790418037848,84.6536850486317
"44",2015,"silage maize",-0.599696396195213,32.552704866396,39.3175212129182,12.9656331888542,9.88699453341407,19.99377634098,36.2364581343802,35.5396366594075,17.8945313659808,35.6598859366209,1.65539856029501,9.98190259783844,18.0836718955427,33.5094242782053,36.6099103145612,1.65538684381628,1.65539264569152,18.3013096179334,24.4865444940333,33.5094242782053,32.0228387977778,33.2707865168356
