"","Year","Crop","Control","FYM","FYMNPK","N","N1PKMg","N2PKMg","N4PKMg","N5PKMg","NP","NPK","PKMg","pred_P_UP_N1PKMg","pred_P_UP_N2PKMg","pred_P_UP_N4PKMg","pred_P_UP_N5PKMg","pred_P_UP_PKMg","pred_P_UP_Control","pred_P_UP_N","pred_P_UP_NP","pred_P_UP_NPK","pred_P_UP_FYMNPK","pred_P_UP_FYM"
"25",1996,"wheat",6.09802762586141,25.0606434698294,32.5539496612566,12.7475508202629,13.9012032665504,19.428464523599,19.9773897022585,26.0601300256764,16.0753961733639,19.4385566319133,6.74172392738835,15.9827380665057,19.7692261481459,19.7692261481459,21.2138950092163,6.42871956756896,6.13744600886563,7.21124413885427,9.96779974768704,19.7692261481459,30.125044721419,25.742416273544
"26",1997,"wheat",6.0243225161139,24.9869383600819,32.4802445515091,12.6738457105154,13.8274981568029,19.3547594138515,19.903684592511,25.9864249159288,16.0016910636164,19.3648515221658,6.66801881764085,15.9332230076586,19.6361119323956,19.6361119323956,21.2782711962064,6.43715923347292,6.0696158829185,7.0556967768384,10.1061789014494,19.6361119323956,28.8135244290253,25.0692044365236
"27",1998,"wheat",5.95061740636639,24.9132332503344,32.4065394417616,12.6001406007679,13.7537930470554,19.281054304104,19.8299794827635,25.9127198061813,15.9279859538689,19.2911464124183,6.59431370789334,15.9004913112817,19.5976206497659,19.5976206497659,21.3750753849512,6.44561473820233,6.03334248948685,6.97290778169473,10.1797368664473,19.5976206497659,27.859882144999,23.594042685322
"28",1999,"oats",5.43431436016047,23.9112887047736,21.0481428921515,8.26610032769848,8.31407229756829,9.62853070891527,7.46422762480888,16.4206140398932,11.8165065488624,6.70937425141995,6.73443405174288,11.8859452184314,12.7254221930169,12.7254221930169,14.1511299810513,10.0134331631561,5.42403077647585,4.85658270108684,10.1571931442388,12.7254221930169,20.8385094536793,19.0037482550327
"29",2000,"silage maize",2.34355829612608,11.1841822026255,11.0211387508786,1.94497769492776,5.51745988374384,7.0606814976787,4.78286052785301,6.94927236332228,3.85551709224245,3.41278614092182,3.01748462359342,6.44299908327596,6.35228341950867,6.35228341950867,6.15439185441159,5.71751900633522,2.17027464580707,1.95700686030104,4.71139494014523,6.35228341950867,8.42199505186843,7.66523318286568
"30",2001,"wheat",3.28631357265721,12.2675676958761,22.342135841116,9.85793393134233,9.69574529700509,14.9007659037996,17.1604966757543,19.7369012818213,11.4136345296296,16.519947021961,3.85690121814599,10.4572735285797,17.1130564428917,17.1130373801569,22.4348936113462,3.00566779338118,3.00566715427589,7.21369480917802,10.477266455376,17.1130373801569,22.8609892466588,12.8620777205903
"31",2002,"wheat",4.51118496414758,21.3412813170738,31.6469004683185,12.0041625920878,11.5177786194218,16.9512008991552,21.639199406402,24.933438456243,17.0174407244596,21.9311848885156,5.05691800542996,12.620941563976,17.4737888660584,22.3506265979937,20.2372000526133,4.28295366240174,4.28293606639535,6.98430345932231,10.363738130335,22.3506265979937,20.9102418370282,22.0148840094
"32",2003,"wheat",4.43747985440007,21.2675762073263,31.5731953585709,11.9304574823403,11.4440735096743,16.8774957894077,21.5654942966545,24.8597333464955,16.9437356147121,21.8574797787681,4.98321289568245,12.5743962116075,16.5443028935934,21.9762421127183,18.7134600020252,4.29138384609973,4.29138374693908,6.86552184231259,10.2587781865081,21.9762421127183,19.6172701925783,22.5639366041975
"33",2004,"oats",4.18048562388826,20.5249404774595,20.4741076246549,7.855726024965,6.26366157588129,7.48428100991311,9.45905125439396,15.6269363959015,13.0915650253997,9.53501643346388,5.3826420552261,6.74325667389439,7.38089666605876,8.656247279033,8.97292174293015,6.10557706697521,4.89278486300381,4.72216305719509,8.65622843991188,8.656247279033,8.64522079830347,20.1750361990029
"34",2005,"silage maize",0.437342557504962,7.14544697296255,9.79471648103311,0.882216389845328,2.81466215970795,4.26404479632763,6.12529715508913,5.50320771698168,4.47818856643076,5.58604132061678,1.01330562472768,4.21812185636668,4.86514700374516,6.51482237311598,5.02262900590297,0.957359007605891,0.957359537199475,1.91634889289006,4.72442002681813,6.51482237311598,5.47993365828677,7.30271298848463
