"","Year","Crop","Control","FYM","FYMN","FYMNK","FYMNP","FYMNPK","FYMNPKMg","FYMPK","N","NK","NP","NPK","NPKMg","PK","pred_N_UP_NPK","pred_N_UP_PK","pred_N_UP_NK","pred_N_UP_Control","pred_N_UP_N","pred_N_UP_NP","pred_N_UP_NPKMg","pred_N_UP_FYMNPK","pred_N_UP_FYM","pred_N_UP_FYMPK","pred_N_UP_FYMNK","pred_N_UP_FYMNP","pred_N_UP_FYMNPKMg"
"11",1971,"rye",25.1301138565687,40.1113341341879,89.1326024237174,88.9932953822832,95.4043660170449,92.1755451727592,91.7844412051402,43.222107121807,74.7231501867172,82.489663759426,79.6101332532356,85.1205652022831,87.3927941951403,31.9696416270451,51.9291396681443,31.9696410736062,51.9291541079833,31.9696182297511,51.9291398264859,51.9291397947402,51.9291396681443,51.92913968929,31.9696238096754,31.9696371920133,51.9291406855101,51.9291484557333,51.92913968929
"12",1972,"oats",19.8381377920852,28.7691179462023,70.2573480797319,74.150553103849,75.6668163367903,76.1583563679667,74.4996021320844,31.3543978062023,52.8274650013241,62.2241351173787,56.1175684544375,62.7552967226728,65.656842623261,23.214095505614,55.0483980843704,23.2140977509664,54.3968085165894,23.2140962656054,54.3967947993802,55.0069655102913,55.0483980843704,55.17566547211,23.2140988906641,23.2141029352511,55.0814686330573,55.1756559158209,55.17566547211
"13",1973,"potato",26.308534238689,54.9307933797415,96.5594349780021,103.169773620274,98.7527403839522,100.930032567637,97.8459232528999,55.2541078560582,52.132535813002,74.4869347202684,57.9663870276369,71.7789822918474,80.1679675718474,28.7475212518475,62.3542187486856,28.7475230727919,60.943073790844,28.747522990996,60.943083627152,61.6587606640022,62.3542187486856,83.9709217399813,47.8718414428821,47.8718593111762,82.2583122158176,83.9708869287517,83.9709217399813
"14",1974,"rye",25.35853197247,40.3397522500892,89.3610205396187,89.2217134981845,95.6327841329462,92.4039632886605,92.0128593210415,43.4505252377083,74.9515683026185,82.7180818753273,79.8385513691369,85.3489833181844,87.6212123110416,32.1980597429464,53.0720830558816,32.1980189989901,53.0720785604019,32.1980500308745,53.0720794870036,53.072079948825,53.0720830558816,53.0720849495066,32.1980358489735,32.1980460182689,53.0720784662171,53.072085249457,53.0720849495066
"15",1975,"oats",19.9401217973376,28.8711019514546,70.3593320849842,74.2525371091014,75.7688003420426,76.2603403732191,74.6015861373368,31.4563818114546,52.9294490065765,62.326119122631,56.2195524596899,62.8572807279251,65.7588266285134,23.3160795108664,56.874141873461,23.3160796041261,56.0470165759245,23.3160807256638,56.0470293176035,56.7885046773154,56.874141873461,57.0469836852599,23.3160819862214,23.3160799658768,56.9210582734075,57.0469583034968,57.0469836852599
"16",1976,"potato",25.9439997069013,54.5662588479538,96.1949004462144,102.805239088486,98.3882058521644,100.565498035849,97.4813887211122,54.8895733242705,51.7680012812143,74.1224001884807,57.6018524958491,71.4144477600596,79.8034330400597,28.3829867200597,62.0641190237341,28.3829867512055,60.5761348517308,28.3829971257571,60.5761393909927,61.2142179085948,62.0641190237341,87.811559708006,51.661922828553,51.6678669281444,85.7903261852641,87.8116029723201,87.811559708006
"17",1977,"rye",25.5869500883714,40.5681703659906,89.5894386555201,89.4501316140858,95.8612022488476,92.6323814045618,92.2412774369428,43.6789433536097,75.1799864185199,82.9464999912287,80.0669694850382,85.5774014340858,87.849630426943,32.4264778588477,54.2150686001478,32.4264664763622,54.2150162082454,32.4264329519382,54.2150251353885,54.2150245351319,54.2150686001478,54.2150160632004,32.4264431987392,32.4264584353646,54.2150178172001,54.2150189417458,54.2150160632004
"18",1978,"oats",20.0421058025899,28.973085956707,70.4613160902365,74.3545211143537,75.870784347295,76.3623243784714,74.7035701425891,31.558365816707,53.0314330118288,62.4281031278834,56.3215364649422,62.9592647331775,65.8608106337657,23.4180635161187,58.6915639983263,23.4180668626099,57.6678612162586,23.4180635949723,57.6678583407058,58.5489256152713,58.6915639983263,58.9182587422345,23.418088060937,23.4180706312035,58.7527317771056,58.9183167674887,58.9182587422345
"19",1979,"potato",30.663882699849,59.2861418409015,100.914783439162,107.525122081434,103.108088845112,105.285381028797,102.20127171406,59.6094563172182,56.487884274162,78.8422831814284,62.3217354887968,76.1343307530073,84.5233160330074,33.1028697130074,79.3275996043129,33.1028727267235,75.6476327078622,33.1028715267744,75.6481121688326,77.3769571691795,79.3275996043129,108.203279613327,60.3504289829395,60.5480419629923,104.156453500769,108.203472280756,108.203279613327
"20",1980,"rye",30.8997857290082,45.8810060066274,94.9022742961569,94.7629672547227,101.174037889484,97.9452170451987,97.5541130775797,48.9917789942465,80.4928220591567,88.2593356318655,85.3798051256751,90.8902370747226,93.1624660675798,37.7393134994846,91.3993167989711,37.7392239782072,89.0869248215484,37.7393038507988,89.0876670098243,90.8083366689462,91.3993167989711,91.9087101084782,37.7393121148406,37.7393035855318,91.6038128225014,91.9087632593203,91.9087101084782
"21",1981,"oats",25.2285073325778,34.1594874866948,75.6477176202244,79.5409226443416,81.0571858772828,81.5487259084593,79.889971672577,36.7447673466948,58.2178345418167,67.6145046578713,61.5079379949301,68.1456662631654,71.0472121637536,28.6044650461066,66.047437810182,28.6044650892251,64.2736082804189,28.6044661489571,64.2740333919064,65.8501244340943,66.047437810182,66.6900941891534,28.6044857333404,28.6044663977723,66.170667488817,66.6811799469815,66.6900941891534
