"","Dataset","Season","Crop","Treatment","Measured_N_Uptake.kg.ha","Measured_P_Uptake.kg.ha","Measured_K_Uptake.kg.ha","Predicted_N_Uptake.kg.ha","Predicted_P_Uptake.kg.ha","Predicted_K_Uptake.kg.ha","P_labile","P_stable","P_labile_placed","P_labile_FYM","K_labile","K_stable","K_labile_FYM","cols","pchs"
"68","Broadbalk_LMpred_BBalk_",1995,"potato","N1PKMg",38.9883613264682,7.50791752825816,91.616303234717,31.1614611554898,7.72520532495876,67.4034621970959,146.206168933844,3155.71021793245,0,0,880.006803162362,6949.41741272035,0,"lightgreen",1
"69","Broadbalk_LMpred_BBalk_",1996,"wheat","N1PKMg",64.4310916648561,13.9012032665504,30.5726704348252,68.3090255512719,15.9827380665057,46.2595017852536,146.206168933844,3155.71021793245,0,0,880.006803162362,6949.41741272035,0,"lightgreen",1
"70","Broadbalk_LMpred_BBalk_",1997,"wheat","N1PKMg",64.4648759076859,13.8274981568029,29.9475869553361,68.1243534791087,15.9332230076586,46.6184489105658,143.090591652432,3177.84028070129,0,0,875.519346321037,6997.36993500468,0,"lightgreen",1
"71","Broadbalk_LMpred_BBalk_",1998,"wheat","N1PKMg",64.4986601505166,13.7537930470554,29.3225034758471,67.9392530703178,15.9004913112817,46.8730469844998,143.090591652432,3177.84028070129,0,0,875.519346321037,6997.36993500468,0,"lightgreen",1
"72","Broadbalk_LMpred_BBalk_",1999,"oats","N1PKMg",36.1877861583423,8.31407229756829,20.3661245988229,34.5635888538159,11.8859452184314,39.4446315495881,143.090591652432,3177.84028070129,0,0,875.519346321037,6997.36993500468,0,"lightgreen",1
"73","Broadbalk_LMpred_BBalk_",2000,"silage maize","N1PKMg",29.6245986616546,5.51745988374384,31.7260559371938,29.4869668370547,6.44299908327596,38.2891068970499,151.590468699869,3196.6151983289,0,0,874.651382154596,7020.83443697403,0,"lightgreen",1
"74","Broadbalk_LMpred_BBalk_",2001,"wheat","N1PKMg",43.6498264510783,9.69574529700509,21.0310276870833,45.229094114317,10.4572735285797,34.183274440511,151.590468699869,3196.6151983289,0,0,874.651382154596,7020.83443697403,0,"lightgreen",1
"75","Broadbalk_LMpred_BBalk_",2002,"wheat","N1PKMg",50.1743963282025,11.5177786194218,23.8890262823099,53.8837662559006,12.620941563976,40.8093545479822,151.590468699869,3196.6151983289,0,0,874.651382154596,7020.83443697403,0,"lightgreen",1
"76","Broadbalk_LMpred_BBalk_",2003,"wheat","N1PKMg",50.2081805710327,11.4440735096743,23.2639428028208,53.6989381687748,12.5743962116075,40.7233081844595,150.262537310822,3216.96039165144,0,0,893.083788388088,7046.14252895528,0,"lightgreen",1
"77","Broadbalk_LMpred_BBalk_",2004,"oats","N1PKMg",20.7445634188305,6.26366157588129,14.3198768489516,20.8581396878913,6.74325667389439,25.7872192805786,150.262537310822,3216.96039165144,0,0,893.083788388088,7046.14252895528,0,"lightgreen",1
"78","Broadbalk_LMpred_BBalk_",2005,"silage maize","N1PKMg",10.4837781979982,2.81466215970795,24.1136232371017,11.481873303285,4.21812185636668,26.6112714487403,150.262537310822,3216.96039165144,0,0,893.083788388088,7046.14252895528,0,"lightgreen",1
"79","Broadbalk_LMpred_BBalk_",2006,"wheat","N1PKMg",50.3095332995236,11.2229581804317,21.3886923643536,53.1439419930586,12.4337343979425,40.4645900648073,150.131575041361,3236.15813091324,0,0,907.426538207639,7075.18133022516,0,"lightgreen",1
"80","Broadbalk_LMpred_BBalk_",2007,"wheat","N1PKMg",59.1093732178124,12.1048303980497,27.1450812538545,62.4518578789146,14.2023193991855,46.3532085599158,150.131575041361,3236.15813091324,0,0,907.426538207639,7075.18133022516,0,"lightgreen",1
"81","Broadbalk_LMpred_BBalk_",2008,"wheat","N1PKMg",59.1431574606427,12.0311252883022,26.5199977743651,62.2670753884249,14.0715378599959,46.2271304522022,150.131575041361,3236.15813091324,0,0,907.426538207639,7075.18133022516,0,"lightgreen",1
"82","Broadbalk_LMpred_BBalk_",2009,"oats","N1PKMg",28.5267971484138,7.11002217020337,17.5882447436511,29.961258456328,9.9371336424273,37.7026922328497,150.533748758539,3254.85546588478,0,0,918.875224684504,7106.85959676379,0,"lightgreen",1
"83","Broadbalk_LMpred_BBalk_",2010,"silage maize","N1PKMg",14.5684142034356,3.00863575168111,25.8158061815804,15.459061362162,4.65085036558503,32.7041088584365,150.533748758539,3254.85546588478,0,0,918.875224684504,7106.85959676379,0,"lightgreen",1
